window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
5332,44,44.0,98.77272727272727,23.455822727730336,3,9,1.4226754683112182,18,32.0,False,0.0,Normal,57
5333,80,80.0,90.45,20.024921972382316,3,14,1.4670340276877454,38,36.0,False,0.0,Normal,57
5335,1,1.0,342.0,0.0,1,1,0.0,1,-79.0,False,0.0,Normal,57
5348,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5353,4,4.0,109.0,35.0,2,2,1.0,4,3.0,False,0.0,Normal,57
5362,9,9.0,134.44444444444446,79.39089104076685,3,4,1.3921472236645345,8,5.0,False,0.0,Normal,57
5369,1,1.0,342.0,0.0,1,1,0.0,1,-8.0,False,0.0,Normal,57
5371,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5380,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5389,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5404,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5413,4,4.0,243.0,0.0,1,1,0.0,4,3.0,False,0.0,Normal,57
5414,1,1.0,342.0,0.0,1,1,0.0,1,-3.0,False,0.0,Normal,57
5416,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5417,2,2.0,83.0,0.0,1,1,0.0,2,1.0,False,0.0,Normal,57
5419,1,1.0,342.0,0.0,1,1,0.0,1,-1.0,False,0.0,Normal,57
5421,28,28.0,141.71428571428572,60.58456730817154,3,2,1.2958363892911637,16,27.0,False,0.0,Normal,57
5422,9,9.0,174.66666666666666,95.60450942409685,3,3,1.3921472236645345,4,-19.0,False,0.0,Normal,57
5426,64,64.0,116.96875,45.74964779577543,2,17,1.0,24,55.0,False,0.0,Normal,57
5427,24,24.0,96.5,26.26626480234041,3,7,1.5,8,-40.0,False,0.0,Normal,57
5428,28,28.0,100.07142857142857,20.644834309663747,2,8,1.0,16,4.0,False,0.0,Normal,57
5429,101,101.0,101.44554455445545,33.81266832941384,3,27,1.0702350572322654,26,73.0,False,0.0,Normal,57
5430,28,28.0,81.5,14.206386893627407,2,8,1.0,26,-73.0,False,0.0,Normal,57
5437,6,6.0,166.0,1.0,1,1,0.0,6,-22.0,False,0.0,Normal,57
5440,10,10.0,144.4,31.49666649028116,2,3,0.7219280948873623,6,4.0,False,0.0,Normal,57
